2670,200 N Franklin St,"(41.885817; -87.63553)"
6262,1548 W Berwyn Ave,"(41.978135; -87.669002)"
7093,120 W 111th St,"(41.692666; -87.626385)"
1208,1741 N Damen Ave,"(41.913514; -87.677394)"
2935,11249 S Halsted St,"(41.689638; -87.642034)"
3962,10335 S Vincennes Ave,"(41.706016; -87.656118)"
3877,2100 N Southport Ave,"(41.919933; -87.663259)"
3983,11 N Wabash Ave,"(41.882291; -87.62599)"
1168,2136 N California Ave,"(41.920747; -87.697396)"
4803,1114 W Belmont Ave,"(41.93996; -87.657066)"
5276,225 N Michigan Ave,"(41.886106; -87.624358)"
6080,121 N LaSalle St,"(41.883913; -87.632314)"
379,2301 S Lake Shore Dr,"(41.851357; -87.612402)"
1384,2021 W 35th St,"(41.830241; -87.67614)"
6224,1000 N Mozart St,"(41.899422; -87.6982)"
3448,11219 S Michigan Ave,"(41.690441; -87.620827)"
4845,1969 W Montrose Ave,"(41.961299; -87.678214)"
4641,1002 N California Ave,"(41.899422; -87.69696)"
5141,2250 N Clifton Ave,"(41.922627; -87.657317)"
3049,1733 W Irving Park Rd,"(41.954156; -87.672789)"
5284,111 N Jefferson St,"(41.883512; -87.642524)"
3293,1825 N Lincoln Ave,"(41.915673; -87.634871)"
3143,10 W Lake St,"(41.885892; -87.628341)"
4446,10740 S Calhoun Ave,"(41.700168; -87.562148)"
4499,2020 N Oakley Ave,"(41.91818; -87.685114)"
942,200 W Monroe St,"(41.880775; -87.633944)"
3681,1231 S Pulaski Rd,"(41.86551; -87.724954)"
3008,160 E Huron St,"(41.895088; -87.623576)"
5876,1254 N Wells St,"(41.905207; -87.634697)"
5810,1039 N Western Ave,"(41.90048; -87.686754)"
6396,201 N State St,"(41.885821; -87.62791)"
7081,1917 E 71st St,"(41.76586; -87.578668)"
4994,1460 E 53rd St,"(41.799667; -87.589853)"
6910,2157 N Western Ave,"(41.921441; -87.687342)"
5167,2210 W Pershing Rd,"(41.823185; -87.680473)"
1423,1500 E 53rd St,"(41.799649; -87.588907)"
5956,2300 W Armitage Ave,"(41.91775; -87.685217)"
6142,10500 S Michigan Ave,"(41.703134; -87.62085)"
2181,2007 S Blue Island Ave,"(41.854765; -87.663664)"
2154,1338 W Belmont Ave,"(41.939878; -87.662344)"
2552,2 N Dearborn St,"(41.882077; -87.629503)"
3497,1203 N Milwaukee Ave,"(41.903518; -87.666531)"
4894,1659 N Campbell Ave,"(41.911334; -87.689517)"
2592,1737 W Division St,"(41.903137; -87.671373)"
6357,2129 N Milwaukee Ave,"(41.919895; -87.692153)"
6300,11226 S Michigan Ave,"(41.690051; -87.621184)"
3391,11500 S Michigan Ave,"(41.685177; -87.620951)"
3955,200 W Van Buren St,"(41.876944; -87.633863)"
1221,1359 N Milwaukee Ave,"(41.906679; -87.671427)"
5238,1940 W Irving Park Rd,"(41.954312; -87.677262)"
6283,10701 S Wentworth Ave,"(41.699711; -87.627957)"
3207,1391 S Lake Shore Dr,"(41.862099; -87.61813)"
2929,11046 S Hale Ave,"(41.692738; -87.670569)"
2374,220 N Clark St,"(41.88597; -87.631154)"
736,1242 W Addison St,"(41.947257; -87.660606)"
1514,1758 W 79th St,"(41.75043; -87.667583)"
2522,1520 N Damen Ave,"(41.908999; -87.677466)"
5867,1010 S Clinton St,"(41.869599; -87.640936)"
4043,1100 W Washington Blvd,"(41.883141; -87.65452)"
5852,1016 N Ashland Ave,"(41.900225; -87.667618)"
2150,1300 W Belmont Ave,"(41.93989; -87.66162)"
6421,18 S Michigan Ave,"(41.881804; -87.624657)"
5207,1600 W Armitage Ave,"(41.91798; -87.668022)"
2547,2 S Dearborn St,"(41.88186; -87.629562)"
4806,1648 W Roscoe St,"(41.943462; -87.670329)"
4047,1134 W Washington Blvd,"(41.883124; -87.655743)"
4975,1332 W 18th St,"(41.85712; -87.659721)"
6385,219 W Chicago Ave,"(41.896478; -87.634564)"
1092,1501 W 18th St,"(41.857693; -87.664008)"
6293,10040 S Michigan Ave,"(41.711548; -87.620169)"
